State,Indicator No.,Indicator,Unit,NFHS 6,NFHS 6 Small Sample,NFHS 5,NFHS 5 Small Sample,Delta (6-5)
Arunachal Pradesh,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,51.7,,47.1,,4.6
Arunachal Pradesh,61,Children under age 3 years breastfed within one hour of birth9 (%),%,47.8,,52.0,,-4.2
Arunachal Pradesh,62,Children under age 6 months exclusively breastfed10 (%),%,50.5,,63.4,,-12.9
Arunachal Pradesh,63,Children under age 6 months currently breastfeeding10 (%),%,95.1,,86.5,,8.6
Arunachal Pradesh,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,63.9,,73.2,,-9.3
Arunachal Pradesh,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,68.4,,48.4,,20.0
Arunachal Pradesh,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,25.0,,22.6,,2.4
Arunachal Pradesh,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,15.1,,12.7,,2.4
Arunachal Pradesh,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,24.0,,20.9,,3.1
Arunachal Pradesh,69,Children under 5 years who are stunted (height-for-age)12 (%),%,24.1,,28.0,,-3.9
Arunachal Pradesh,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,16.1,,13.1,,3.0
Arunachal Pradesh,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,8.0,,6.5,,1.5
Arunachal Pradesh,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,18.2,,15.4,,2.8
Arunachal Pradesh,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,8.8,,9.6,,-0.8
Arunachal Pradesh,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),%,6.8,,5.7,,1.1
Arunachal Pradesh,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),%,5.8,,4.9,,0.9
Arunachal Pradesh,76,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,29.3,,23.9,,5.4
Arunachal Pradesh,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,31.8,,27.6,,4.2
Arunachal Pradesh,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,5.9,,4.6,,1.3
Arunachal Pradesh,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,4.7,,3.1,,1.6
Arunachal Pradesh,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,11.2,,8.4,,2.8
Arunachal Pradesh,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,6.6,,6.7,,-0.1
Arunachal Pradesh,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,5.5,,4.3,,1.2
Arunachal Pradesh,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,12.7,,11.9,,0.8
Arunachal Pradesh,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,16.0,,16.4,,-0.4
Arunachal Pradesh,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,6.8,,6.7,,0.1
Arunachal Pradesh,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,24.2,,24.9,,-0.7
Arunachal Pradesh,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,22.2,,22.8,,-0.6
Arunachal Pradesh,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,4.1,,9.0,,-4.9
Arunachal Pradesh,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,31.3,,33.1,,-1.8
Arunachal Pradesh,90,Currently married women who usually participate in three household decisions17 (%),%,87.0,,87.0,,0.0
Arunachal Pradesh,91,Women who worked in the last 12 months and were paid in cash (%),%,41.8,,23.5,,18.3
Arunachal Pradesh,92,Women having a bank or savings account that they themselves use (%),%,91.2,,78.2,,13.0
Arunachal Pradesh,93,Women having a mobile phone that they themselves use (%),%,90.3,,76.4,,13.9
Arunachal Pradesh,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,96.7,,92.0,,4.7
Arunachal Pradesh,95,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),%,17.8,,24.9,,-7.1
Arunachal Pradesh,96,Ever-married women age 18-49 years who have experienced physical violence during any,,1.9,,3.0,,-1.1
Arunachal Pradesh,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.2,,0.7,,-0.5
Arunachal Pradesh,98,Women age 15 years and above who use any kind of tobacco (%),%,19.1,,18.8,,0.3
Arunachal Pradesh,99,Men age 15 years and above who use any kind of tobacco (%),%,51.4,,50.3,,1.1
Arunachal Pradesh,100,Women age 15 years and above who consume alcohol (%),%,23.2,,24.2,,-1.0
Arunachal Pradesh,101,Men age 15 years and above who consume alcohol (%),%,50.5,,52.6,,-2.1
Assam,1,Population below age 5 years (%),%,6.9,,8.2,,-1.3
Assam,2,Population below age 15 years (%),%,25.7,,28.3,,-2.6
Assam,3,Population age 60 years and above (%),%,10.3,,8.6,,1.7
Assam,4,Population living in households with electricity (%),%,96.4,,92.6,,3.8
Assam,5,Population living in households with an improved drinking-water source1 (%),%,92.8,,86.0,,6.8
Assam,6,Households using iodized salt (%),%,97.5,,98.8,,-1.3
Assam,7,Households with any usual member covered under a health insurance/financing scheme (%),%,70.3,,66.7,,3.6
Assam,8,Households with any usual member having a bank account/post office account (%),%,97.6,,95.7,,1.9
Assam,9,Female population age 6 years and above who ever attended school (%),%,79.7,,78.2,,1.5
Assam,10,Households with any usual female members owning a house and/or land (alone or jointly with,,9.9,,8.3,,1.6
Assam,11,Children age 2-4 years who attended pre-school (%),%,52.9,,38.1,,14.8
Assam,12,Women with 10 or more years of schooling (%),%,37.1,,29.6,,7.5
Assam,13,Men with 10 or more years of schooling (%),%,41.7,,35.5,,6.2
Assam,14,Women who have ever used the internet (%),%,53.5,,28.2,,25.3
Assam,15,Men who have ever used the internet (%),%,70.4,,36.9,,33.5
Assam,16,Women age 20-24 years married before age 18 years (%),%,25.3,,31.8,,-6.5
Assam,17,Men age 25-29 years married before age 21 years (%),%,17.5,,21.8,,-4.3
Assam,18,Total fertility rate (children per woman),children per woman,1.6,,1.9,,-0.3
Assam,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,7.3,,11.7,,-4.4
Assam,20,Any method2 (%),%,71.0,,60.8,,10.2
Assam,21,Any modern method2 (%),%,53.4,,45.3,,8.1
Assam,22,Any traditional method (%),%,17.6,,15.5,,2.1
Assam,23,Female sterilization (%),%,7.7,,9.0,,-1.3
Assam,24,Male sterilization (%),%,0.3,,0.1,,0.2
Assam,25,Total unmet need3 (%),%,7.4,,11.0,,-3.6
Assam,26,Unmet need for spacing3 (%),%,4.1,,4.2,,-0.1
Assam,27,Unmet need for limiting3 (%),%,3.3,,6.8,,-3.5
Assam,28,Mothers who had an antenatal check-up in the first trimester (%),%,72.5,,63.8,,8.7
Assam,29,Mothers who had any antenatal care visits (%),%,90.2,,94.3,,-4.1
Assam,30,Mothers who had at least 4 antenatal care visits (%),%,51.4,,50.7,,0.7
Assam,31,Mothers whose last birth was protected against neonatal tetanus 4 (%),%,93.8,,94.5,,-0.7
Assam,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,65.4,,47.5,,17.9
Assam,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,44.0,,18.5,,25.5
Assam,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,98.1,,98.7,,-0.6
Assam,35,Institutional births (%),%,87.6,,84.1,,3.5
Assam,36,Institutional births in public facility (%),%,75.6,,74.4,,1.2
Assam,37,Births attended by skilled health personnel5 (%),%,90.7,,86.1,,4.6
Assam,38,Births delivered by caesarean section (%),%,22.9,,18.1,,4.8
Assam,39,Births in a private health facility that were delivered by caesarean section (%),%,81.4,,70.6,,10.8
Assam,40,Births in a public health facility that were delivered by caesarean section (%),%,17.4,,15.2,,2.2
Assam,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,67.4,,65.3,,2.1
Assam,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,7.1,,2.0,,5.1
Assam,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,69.5,,69.9,,-0.4
Assam,44,Children age 12-23 months fully vaccinated based on information from either vaccination,,81.7,,66.7,,15.0
Assam,45,Children age 12-23 months fully vaccinated based on information from vaccination card 71.8 only7 (%) 87.6,,87.8,,87.7,,0.1
Assam,46,Children age 12-23 months who have received any vaccine (%),%,95.5,,94.7,,0.8
Assam,47,Children age 12-23 months who have received BCG (%),%,94.0,,92.5,,1.5
Assam,48,Children age 12-23 months who have received 3 doses of polio vaccine 8 (%),%,84.1,,73.4,,10.7
Assam,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,88.6,,82.5,,6.1
Assam,50,Children age 12-23 months who have received the first dose of measles-containing,,90.5,,82.8,,7.7
Assam,51,Children age 24-35 months who have received a second dose of measles-containing,,68.1,,35.5,,32.6
Assam,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,71.7,,53.9,,17.8
Assam,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,87.4,,45.4,,42.0
Assam,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,78.5,,58.2,,20.3
Assam,55,Children age 12-23 months who received most of their vaccinations in a public health,,95.9,,95.6,,0.3
Assam,56,Children age 12-23 months who received most of their vaccinations in a private health,,1.9,,2.3,,-0.4
Assam,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,1.9,,5.5,,-3.6
Assam,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.4,,0.8,,-0.4
Assam,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.6,,2.5,,-1.9
Assam,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,44.4,,51.2,,-6.8
Assam,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,54.8,,49.1,,5.7
Assam,62,Children under age 6 months exclusively breastfed10 (%),%,54.3,,63.6,,-9.3
Assam,63,Children under age 6 months currently breastfeeding 10 (%),%,98.4,,95.4,,3.0
Assam,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,74.4,,77.8,,-3.4
Assam,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,66.6,,51.7,,14.9
Assam,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,16.0,,7.5,,8.5
Assam,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,23.6,,3.1,,20.5
Assam,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,16.4,,7.2,,9.2
Assam,69,Children under 5 years who are stunted (height-for-age)12 (%),%,30.3,,35.3,,-5.0
Assam,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,21.4,,21.7,,-0.3
Assam,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,8.5,,9.0,,-0.5
Assam,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,30.7,,32.8,,-2.1
Assam,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,4.2,,4.8,,-0.6
Assam,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),%,15.6,,17.7,,-2.1
Assam,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),%,15.7,,13.4,,2.3
Assam,76,Women who are overweight or obese (BMI ≥25.0 kg/m 2)15 (%),%,19.6,,15.2,,4.4
Assam,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,21.1,,16.2,,4.9
Assam,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,5.8,,6.9,,-1.1
Assam,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,6.1,,4.9,,1.2
Assam,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,12.5,,12.8,,-0.3
Assam,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.4,,8.4,,-1.0
Assam,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,7.6,,6.2,,1.4
Assam,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,15.6,,16.0,,-0.4
Assam,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,11.3,,10.9,,0.4
Assam,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,5.3,,4.8,,0.5
Assam,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,19.6,,19.1,,0.5
Assam,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,13.6,,12.8,,0.8
Assam,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,3.4,,4.4,,-1.0
Assam,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,21.4,,20.3,,1.1
Assam,90,Currently married women who usually participate in three household decisions 17 (%),%,86.7,,92.1,,-5.4
Assam,91,Women who worked in the last 12 months and were paid in cash (%),%,25.6,,19.0,,6.6
Assam,92,Women having a bank or savings account that they themselves use (%),%,91.7,,78.5,,13.2
Assam,93,Women having a mobile phone that they themselves use (%),%,66.8,,57.2,,9.6
Assam,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,75.1,,67.0,,8.1
Assam,95,Ever-married women age 18-49 years who have ever experienced spousal violence 19 (%),%,16.2,,32.2,,-16.0
Assam,96,Ever-married women age 18-49 years who have experienced physical violence during any,,2.0,,2.3,,-0.3
Assam,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.9,,1.4,,-0.5
Assam,98,Women age 15 years and above who use any kind of tobacco (%),%,16.5,,22.2,,-5.7
Assam,99,Men age 15 years and above who use any kind of tobacco (%),%,45.2,,51.9,,-6.7
Assam,100,Women age 15 years and above who consume alcohol (%),%,5.8,,7.3,,-1.5
Assam,101,Men age 15 years and above who consume alcohol (%),%,23.8,,25.2,,-1.4
Bihar,1,Population below age 5 years (%),%,11.5,,11.7,,-0.2
Bihar,2,Population below age 15 years (%),%,35.6,,36.4,,-0.8
Bihar,3,Population age 60 years and above (%),%,11.5,,11.1,,0.4
Bihar,4,Population living in households with electricity (%),%,98.5,,96.3,,2.2
Bihar,5,Population living in households with an improved drinking-water source1 (%),%,99.8,,99.2,,0.6
Bihar,6,Households using iodized salt (%),%,93.0,,93.3,,-0.3
Bihar,7,Households with any usual member covered under a health insurance/financing scheme (%),%,21.1,,17.4,,3.7
Bihar,8,Households with any usual member having a bank account/post office account (%),%,98.5,,95.5,,3.0
Bihar,9,Female population age 6 years and above who ever attended school (%),%,64.1,,61.1,,3.0
Bihar,10,Households with any usual female members owning a house and/or land (alone or jointly with,,14.9,,10.6,,4.3
Bihar,11,Children age 2-4 years who attended pre-school (%),%,42.9,,36.0,,6.9
Bihar,12,Women with 10 or more years of schooling (%),%,33.1,,28.8,,4.3
Bihar,13,Men with 10 or more years of schooling (%),%,45.9,,42.8,,3.1
Bihar,14,Women who have ever used the internet (%),%,58.4,,20.6,,37.8
Bihar,15,Men who have ever used the internet (%),%,78.1,,35.4,,42.7
Bihar,16,Women age 20-24 years married before age 18 years (%),%,34.6,,40.8,,-6.2
Bihar,17,Men age 25-29 years married before age 21 years (%),%,29.6,,30.5,,-0.9
Bihar,18,Total fertility rate (children per woman),children per woman,2.7,,3.0,,-0.3
Bihar,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,11.4,,11.0,,0.4
Bihar,20,Any method2 (%),%,59.3,,55.8,,3.5
Bihar,21,Any modern method2 (%),%,44.7,,44.4,,0.3
Bihar,22,Any traditional method (%),%,14.6,,11.4,,3.2
Bihar,23,Female sterilization (%),%,37.6,,34.8,,2.8
Bihar,24,Male sterilization (%),%,0.2,,0.1,,0.1
Bihar,25,Total unmet need3 (%),%,14.4,,13.6,,0.8
Bihar,26,Unmet need for spacing3 (%),%,7.3,,6.1,,1.2
Bihar,27,Unmet need for limiting3 (%),%,7.1,,7.5,,-0.4
Bihar,28,Mothers who had an antenatal check-up in the first trimester (%),%,63.9,,52.9,,11.0
Bihar,29,Mothers who had any antenatal care visits (%),%,94.0,,81.6,,12.4
Bihar,30,Mothers who had at least 4 antenatal care visits (%),%,37.6,,25.2,,12.4
Bihar,31,Mothers whose last birth was protected against neonatal tetanus 4 (%),%,92.6,,89.5,,3.1
Bihar,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,21.9,,18.0,,3.9
Bihar,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,11.2,,9.2,,2.0
Bihar,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,89.5,,89.5,,0.0
Bihar,35,Institutional births (%),%,81.1,,76.2,,4.9
Bihar,36,Institutional births in public facility (%),%,57.5,,56.9,,0.6
Bihar,37,Births attended by skilled health personnel5 (%),%,84.0,,78.9,,5.1
Bihar,38,Births delivered by caesarean section (%),%,13.2,,9.7,,3.5
Bihar,39,Births in a private health facility that were delivered by caesarean section (%),%,49.3,,39.6,,9.7
Bihar,40,Births in a public health facility that were delivered by caesarean section (%),%,2.7,,3.6,,-0.9
